Timestamp,Elapsed_Seconds,CPU_Percent,Memory_Percent,Pool_Checked_Out,Pool_Checked_In,Pool_Overflow,Request_Rate_Per_Sec,Cumulative_Requests,Errors_Per_Sec,Cumulative_Errors,Postgres_Active_Conns,Postgres_Idle_Conns,Postgres_Idle_In_Tx_Conns,Postgres_Waiting_Queries,Postgres_Slowest_Query_Sec,Postgres_Avg_Query_Sec,Connection_Creation_Rate_Per_Sec,API_Status
2026-06-26 13:50:05,0,48.6,66.8,0,20,-19,0.0,0,0.0,0,4,16,1,27,0.305,0.153,466033.78,Online
2026-06-26 13:50:06,1,30.3,66.9,0,20,-19,0.0,0,0.0,0,4,16,1,27,1.579,0.727,0.0,Online
2026-06-26 13:50:07,2,63.2,67.2,0,20,-19,0.0,0,0.0,0,3,17,1,27,2.89,1.157,0.0,Online
2026-06-26 13:50:09,4,76.0,67.4,0,20,-19,0.0,0,0.0,0,1,18,1,26,-0.001,-0.021,0.0,Online
2026-06-26 13:50:10,5,91.1,67.7,0,20,-19,0.0,0,0.0,0,1,20,0,27,-0.04,-0.04,0.0,Online
2026-06-26 13:50:12,6,67.6,67.6,0,20,-19,0.0,0,0.0,0,1,19,1,27,-0.037,-0.039,0.0,Online
2026-06-26 13:50:13,8,54.0,67.8,0,20,-19,0.0,0,0.0,0,1,20,0,27,-0.04,-0.04,0.0,Online
2026-06-26 13:50:14,9,54.4,68.0,10,10,-9,7.68,10,0.0,0,1,20,0,27,-0.042,-0.042,0.0,Online
2026-06-26 13:50:15,10,70.3,68.0,10,10,-9,0.0,10,0.0,0,1,10,10,27,0.714,0.639,7.57,Online
2026-06-26 13:50:17,12,60.6,68.0,0,20,-9,0.0,10,0.0,0,1,20,0,27,-0.042,-0.042,0.0,Online
2026-06-26 13:50:18,13,70.2,68.0,10,10,-9,7.54,20,0.0,0,1,10,10,27,0.678,0.604,0.0,Online
2026-06-26 13:50:20,15,67.8,68.0,5,15,-9,5.16,28,0.0,0,1,20,0,27,-0.04,-0.04,0.0,Online
2026-06-26 13:50:21,16,78.8,68.1,10,10,-9,1.5,30,0.0,0,1,10,10,27,1.023,0.888,0.0,Online
2026-06-26 13:50:23,18,53.5,68.1,10,10,-9,6.99,40,0.0,0,1,20,0,27,-0.043,-0.043,0.0,Online
2026-06-26 13:50:26,19,82.7,68.1,NaN,NaN,NaN,0.0,NaN,0.0,NaN,1,18,2,27,-0.027411,-0.03163466666666666667,0.0,Offline/Timeout (TimeoutError)
2026-06-26 13:50:27,22,59.8,67.4,10,10,-7,4.27,52,0.0,0,1,10,10,27,0.782,0.548,0.71,Online
2026-06-26 13:50:28,23,54.6,67.3,8,12,-7,5.87,60,0.0,0,1,20,0,27,-0.042,-0.042,0.0,Online
2026-06-26 13:50:30,25,90.3,67.5,1,19,-7,1.33,62,0.0,0,2,12,7,27,0.181,0.01,0.0,Online
2026-06-26 13:50:31,26,49.3,67.3,10,10,-7,7.38,72,0.0,0,1,11,9,27,0.356,0.278,0.0,Online
2026-06-26 13:50:33,28,82.8,67.4,0,20,-7,0.0,72,0.0,0,1,20,0,27,-0.043,-0.043,0.0,Online
2026-06-26 13:50:34,29,61.0,67.5,10,10,-7,7.53,82,0.0,0,1,10,10,27,0.766,0.649,0.0,Online
2026-06-26 13:50:36,30,54.1,67.4,10,10,-7,6.43,92,0.0,0,1,20,0,27,-0.051,-0.051,0.0,Online
